ida	idb	crca	crcb	pdockq	label	dataset
P11276	P20917	CRC-24A207BE67F85585	CRC-54E7D53096010905		0	negatome
P63244	Q08493	CRC-257F91E369ED2044	CRC-1932116C9CE0322C		0	negatome
P63244	Q08493-2	CRC-257F91E369ED2044	CRC-1932116C9CE0322C		0	negatome
P63244	Q07343	CRC-257F91E369ED2044	CRC-208FCE9CD40EF5EB		0	negatome
P63244	Q07343-1	CRC-257F91E369ED2044	CRC-208FCE9CD40EF5EB		0	negatome
P63244	Q07343-2	CRC-257F91E369ED2044	CRC-208FCE9CD40EF5EB		0	negatome
P63244	Q07343-3	CRC-257F91E369ED2044	CRC-208FCE9CD40EF5EB		0	negatome
P63244	Q08499-1	CRC-257F91E369ED2044	CRC-7A4773DD3A044F57		0	negatome
P63244	Q08499-4	CRC-257F91E369ED2044	CRC-7A4773DD3A044F57		0	negatome
P63244	Q08499-5	CRC-257F91E369ED2044	CRC-7A4773DD3A044F57		0	negatome
P63244	Q08499-7	CRC-257F91E369ED2044	CRC-7A4773DD3A044F57		0	negatome
P63244	Q04759	CRC-257F91E369ED2044	CRC-B3C53AB892D5210A		0	negatome
O08915	P53762	CRC-25C61AB65F9064F2	CRC-BDEC0991CD57D402		0	negatome
P00441	Q920R0	CRC-25CA38DA8D564483	CRC-F9A9DBCA1ED423B2		0	negatome
P05814	Q9NNX6	CRC-2619C524EA1358E8	CRC-A23FA246014533C0		0	negatome
Q9UBW7	Q9UKL0	CRC-2652D4C766492FF9	CRC-77E90FB0EFD514B2		0	negatome
Q06609	Q9Y620	CRC-26578E6206DEDEDA	CRC-0167288FBA95FBC5		0	negatome
Q06609	Q9BXW9	CRC-26578E6206DEDEDA	CRC-BF931980ADA67405		0	negatome
Q8N2W9	Q8N2W9	CRC-26AAA18246E1ACE3	CRC-26AAA18246E1ACE3		0	negatome
Q8N2W9	Q9P2H0	CRC-26AAA18246E1ACE3	CRC-EF181D0177691D00		0	negatome
Q8N2W9	Q8NI70	CRC-26AAA18246E1ACE3	CRC-F073C2BA91FE0059		0	negatome
P26368	Q02040	CRC-26AD271CD8FC6211	CRC-639E88ECA8006CF2		0	negatome
Q96MW5	Q9H9E3	CRC-2780349A5B037E55	CRC-93E8597991934AD2		0	negatome
P04233	Q8TCT9	CRC-27A13F252D5FB91D	CRC-322D231B52B33118		0	negatome
P04233	Q06481	CRC-27A13F252D5FB91D	CRC-CA3A7D6DDB8A28D0		0	negatome
P04233	P46531	CRC-27A13F252D5FB91D	CRC-E173C872D195F028		0	negatome
P47825	Q5UEC5	CRC-27E6852859872767	CRC-D3B09DF5396B95F3		0	negatome
P12645	P36894	CRC-2809B7EF5E37596A	CRC-00CE2DDDA3A44170		0	negatome
P12645	P98066	CRC-2809B7EF5E37596A	CRC-E2B3AEB76353A782		0	negatome
P32972	Q9YP87	CRC-29003157DD425159	CRC-FC720DA743F62A2A		0	negatome
O88777	Q99569	CRC-299A7C416405046C	CRC-48EA1579E323E019		0	negatome
Q8K0T0	Q99PI8	CRC-29B47A58FC2F2027	CRC-14C5270EBF557E7C		0	negatome
P11505	Q01728	CRC-29BD18FC2B024746	CRC-EC456CFE3AFC6A69		0	negatome
B3VK31	Q95JH1	CRC-29F02F9C09B3C032	CRC-1AE756651EEF33B8		0	negatome
P15153	Q9Y613	CRC-2A1F1266B07C3210	CRC-E6C7AE1FB8DC3FC7		0	negatome
P41274	Q9YP87	CRC-2A425829AD6B89C0	CRC-FC720DA743F62A2A		0	negatome
B7SGZ7	P05412	CRC-2A6C43E1A4B724A1	CRC-0695E23AC4D33561		0	negatome
B7SGZ7	P05549	CRC-2A6C43E1A4B724A1	CRC-FB8FA33C3AEED71F		0	negatome
P19838	Q01105	CRC-2A7C8FF86A10D1A8	CRC-F4664118171EF230		0	negatome
Q549X6	Q64704	CRC-2AC218E2A4BE4C8D	CRC-4A8EAFC2049EEE6F		0	negatome
Q549X6	Q60770	CRC-2AC218E2A4BE4C8D	CRC-7874B71DE107871A		0	negatome
Q13671	Q9BR65	CRC-2B4DA70147CDDDFE	CRC-EE6DC2D933E2856A		0	negatome
P28749	Q13547	CRC-2BC4876EA04BDB31	CRC-4D35B7C1ED7838D6		0	negatome
P05627	P08553	CRC-2BE0E4025B8B1CA3	CRC-0783F50558A7D4C3		0	negatome
P05627	P33175	CRC-2BE0E4025B8B1CA3	CRC-419AD8C2D747DA0A		0	negatome
P05627	Q6PER3	CRC-2BE0E4025B8B1CA3	CRC-6713427C480838DC		0	negatome
P05627	P28738	CRC-2BE0E4025B8B1CA3	CRC-A36BC903603D8748		0	negatome
P05627	Q61768	CRC-2BE0E4025B8B1CA3	CRC-C3D3461A0C314901		0	negatome
P05627	Q9ESN9	CRC-2BE0E4025B8B1CA3	CRC-D7DEE54C17B74106		0	negatome
P05627	P57776	CRC-2BE0E4025B8B1CA3	CRC-FD55F872FDA06819		0	negatome
Q92575	Q9UBP5	CRC-2C3ABCF4D36124CC	CRC-71B7B1AA69BA88D2		0	negatome
Q92575	Q92890	CRC-2C3ABCF4D36124CC	CRC-FC69860002C042C6		0	negatome
O12161	P08047	CRC-2C81886CD7869FB9	CRC-43893DBF6518B9EA		0	negatome
O12161	Q9QWV9	CRC-2C81886CD7869FB9	CRC-6D090F5CA7C3A79C		0	negatome
O12161	Q01105	CRC-2C81886CD7869FB9	CRC-F4664118171EF230		0	negatome
P19490	Q62936	CRC-2D4CFA7CCD532838	CRC-34DA9C46C7BB96DB		0	negatome
O08599	Q99N50	CRC-2DD0715F875CE0F3	CRC-226B59F5A32FA4A4		0	negatome
O08599	Q8K1E0	CRC-2DD0715F875CE0F3	CRC-29CFD4EA5665CFEF		0	negatome
O08599	Q80T23	CRC-2DD0715F875CE0F3	CRC-C1560AB677818B57		0	negatome
O08599	Q99N48	CRC-2DD0715F875CE0F3	CRC-F9F404D2D77A6351		0	negatome
O08599	P70452	CRC-2DD0715F875CE0F3	CRC-FCD1477E1126CEC1		0	negatome
Q15797	Q9NR31	CRC-2DD34B7F434DBC7E	CRC-38A869175CBA54F3		0	negatome
Q15797	Q9UPN9	CRC-2DD34B7F434DBC7E	CRC-7A36013799E9933C		0	negatome
Q15797	Q9UM13	CRC-2DD34B7F434DBC7E	CRC-ACA7F245B3861FF5		0	negatome
P10993	P58772	CRC-2DFCD4954AFFB2F3	CRC-E25609F597A72F4D		0	negatome
P10993	P58772	CRC-2DFCD4954AFFB2F3	CRC-E25609F597A72F4D		0	negatome
P00918	P40879	CRC-2EC2BB7548F10558	CRC-694C5BC2D4121F6D		0	negatome
Q63912	Q7M6Z0	CRC-2F23047A41FC458A	CRC-412500FEE8154B47		0	negatome
Q63912	Q8K0S5	CRC-2F23047A41FC458A	CRC-8285A01C1250D18A		0	negatome
P50570	P52735	CRC-2F4567B75980935D	CRC-C186911605FD5B73		0	negatome
P50570	Q9UKW4	CRC-2F4567B75980935D	CRC-C1E29F0B094CB721		0	negatome
P50570	Q9QPN3	CRC-2F4567B75980935D	CRC-CD61DFA6F386CC89		0	negatome
Q07021	Q13952	CRC-2F747FA73BB1314B	CRC-B17B2C7F622653B9		0	negatome
P00749	Q03405	CRC-2F7E6005A8765AC1	CRC-AB1963EA3DC77171		0	negatome
P09382	P35968	CRC-2FBB8D7A1FC0F1F9	CRC-59E7C44B05CFEBB3		0	negatome
P09382	P35916	CRC-2FBB8D7A1FC0F1F9	CRC-B1473AAAC95E7E93		0	negatome
P09382	P17948	CRC-2FBB8D7A1FC0F1F9	CRC-FF3381EEFAF0787C		0	negatome
P51965	P63165	CRC-2FBC50BE2A6A0008	CRC-89BE97D2D054FB33		0	negatome
P31273	P84022	CRC-30C1FD06228833FC	CRC-46DF5E8B371321AC		0	negatome
P31273	Q15796	CRC-30C1FD06228833FC	CRC-95406DB5FC0AA4C9		0	negatome
P54826	Q92934	CRC-31A0CBEEC3632F82	CRC-69FD8D27DDEE3241		0	negatome
P54826	Q07812	CRC-31A0CBEEC3632F82	CRC-6C0CDB0A7DEE4994		0	negatome
P54826	P55957	CRC-31A0CBEEC3632F82	CRC-B17A07334C1AFBEF		0	negatome
Q62432	Q922H7	CRC-31A2A36D463DB3E9	CRC-58B70AF005718538		0	negatome
Q15751	Q92574	CRC-31B2C1A1430B9622	CRC-EF15509385C7AACC		0	negatome
Q8TCT9	Q9Y6X1	CRC-322D231B52B33118	CRC-DC15C0143AAE0D91		0	negatome
O14893	Q8TEQ6	CRC-3232F410EA98EB81	CRC-EA5293F395BBF14E		0	negatome
O88974	P37238	CRC-326AED6371D156C2	CRC-AB8F3F6086E2A10A		0	negatome
P18576	P63140	CRC-3332DB595D67B3A8	CRC-1ADFB4B04A3CFC22		0	negatome
P18576	Q62725	CRC-3332DB595D67B3A8	CRC-CD663F057DF7B6A6		0	negatome
P82471	Q5SNZ0	CRC-33569BEE7BFF42BF	CRC-0E827E3D9336161F		0	negatome
Q99459	Q9UBD5	CRC-3390F91EE7E79DA6	CRC-E713569A11B39B1C		0	negatome
P32927	Q9J5U5	CRC-3398E37FDB8F393A	CRC-B71AD4DA4CC55355		0	negatome
P51111	P62161	CRC-33C357E8FC141550	CRC-6B4BC3FCDE10727B		0	negatome
P21917	Q53G59	CRC-34CBE8320302008E	CRC-4EB1BC33B6351B5D		0	negatome
P56589	Q92968	CRC-3515A1F29656B7CC	CRC-1E85BEE04366C01C		0	negatome
P56589	P56589	CRC-3515A1F29656B7CC	CRC-3515A1F29656B7CC		0	negatome
O60423	Q3MIR4	CRC-356B1972DD49DFF5	CRC-B68C91A784E33A44		0	negatome
O60423	Q3MIR4	CRC-356B1972DD49DFF5	CRC-B68C91A784E33A44		0	negatome
P62500	Q00322	CRC-35749C0C1CA1E1B6	CRC-151F765946CDB275		0	negatome
Q16891	Q9H213	CRC-357F25DCABB02E50	CRC-408C59F0CCAA6781		0	negatome
Q16891	Q9UKY1	CRC-357F25DCABB02E50	CRC-66CF1CEC5EF824E5		0	negatome
Q16891	Q7L311	CRC-357F25DCABB02E50	CRC-7627CBFFE61C329B		0	negatome
Q16891	Q8NI70	CRC-357F25DCABB02E50	CRC-F073C2BA91FE0059		0	negatome
P02730	P16157	CRC-35EC3EE7AFF27D2F	CRC-49466F6F915019EC		0	negatome
P11084	P30154	CRC-364A1641F8B22B41	CRC-86AB20D7505210B0		0	negatome
P01286	P20396	CRC-366AE05383488C53	CRC-8C0F9D915B32F29F		0	negatome
Q62915	Q8VHK1	CRC-3694A9A44AC29629	CRC-B930742E6D407DB3		0	negatome
P01857	P26151	CRC-3770EE106C2FA33D	CRC-1C4F0033842767E7		0	negatome
P01857	P98086	CRC-3770EE106C2FA33D	CRC-41C2066D49592020		0	negatome
P41047	Q9YP87	CRC-37972E2728E0A1CA	CRC-FC720DA743F62A2A		0	negatome
P39052	Q62600	CRC-3802DBAFA3ABBE98	CRC-52E905C3134E244D		0	negatome
P0AG74	P24230	CRC-38401669E8819EA6	CRC-7826143A8F4292A2		0	negatome
Q08117	Q13547	CRC-3851663AA6921A9F	CRC-4D35B7C1ED7838D6		0	negatome
Q16828	Q9H9D4	CRC-386612227F5D3B2A	CRC-0D3CDA7572D17721		0	negatome
Q16828	Q92785	CRC-386612227F5D3B2A	CRC-1044B4D3036075FC		0	negatome
Q16828	Q8TAU0	CRC-386612227F5D3B2A	CRC-10A279CFA3C8A6DB		0	negatome
Q16828	Q16828	CRC-386612227F5D3B2A	CRC-386612227F5D3B2A		0	negatome
Q16828	Q9H2S9	CRC-386612227F5D3B2A	CRC-42AE169A3E2E14D3		0	negatome
Q16828	Q68DY1	CRC-386612227F5D3B2A	CRC-4F631D271B872653		0	negatome
Q16828	Q9UHX1	CRC-386612227F5D3B2A	CRC-619F3C30D1C5951C		0	negatome
Q16828	Q70SY1	CRC-386612227F5D3B2A	CRC-64699072EEB454D3		0	negatome
Q16828	Q8TBX8	CRC-386612227F5D3B2A	CRC-65D1CBCF0826D476		0	negatome
Q16828	Q93096	CRC-386612227F5D3B2A	CRC-702008013D3F3835		0	negatome
Q16828	Q92730	CRC-386612227F5D3B2A	CRC-9FD56ACB878FBCCA		0	negatome
Q16828	Q9NQX6	CRC-386612227F5D3B2A	CRC-A9DB42D0870A7767		0	negatome
Q16828	Q9UHR5	CRC-386612227F5D3B2A	CRC-C48CEFBD73CE82BC		0	negatome
Q16828	Q9UH92	CRC-386612227F5D3B2A	CRC-D1981730051473C5		0	negatome
Q16828	Q9H6S3	CRC-386612227F5D3B2A	CRC-DAB07744B04CFEE2		0	negatome
P70188	Q03059	CRC-38EBC7FD5312DAAB	CRC-9BE0010779C8AE6D		0	negatome
P02769	P63300	CRC-39167DFE768585D4	CRC-03E297B668D3D7E0		0	negatome
P02769	P22897	CRC-39167DFE768585D4	CRC-264E5AF3C576A5E3		0	negatome
P02769	Q06609	CRC-39167DFE768585D4	CRC-26578E6206DEDEDA		0	negatome
P02769	Q9NNX6	CRC-39167DFE768585D4	CRC-A23FA246014533C0		0	negatome
P02769	P04840	CRC-39167DFE768585D4	CRC-C99D03711AF9B54D		0	negatome
P37231	Q6EMB2	CRC-3933EFF36A0E4CAF	CRC-01441AFE6925AEDF		0	negatome
P37231	Q96RL1	CRC-3933EFF36A0E4CAF	CRC-56B7699E42395861		0	negatome
P05771	P06241	CRC-3937E7B667108C68	CRC-4A1E443A4B5A0977		0	negatome
P05771	P12931	CRC-3937E7B667108C68	CRC-C1908084683E5DE8		0	negatome
P02710	P62160	CRC-398C86C9309AF0D8	CRC-6B4BC3FCDE10727B		0	negatome
O75410	Q92831	CRC-3A261EF58C165107	CRC-72F516E8BC00CC0C		0	negatome
P35295	Q80T23	CRC-3A2E70A18D5280A9	CRC-C1560AB677818B57		0	negatome
P35295	Q91V27	CRC-3A2E70A18D5280A9	CRC-C91444B16B8EFA1D		0	negatome
O43502	Q9BXW9	CRC-3AAADD3C1C0851E0	CRC-BF931980ADA67405		0	negatome
P34925	P55196	CRC-3AFAE21A2680F400	CRC-51486232F183A3BA		0	negatome
P35590	Q9Y5C1	CRC-3B42BE33678C58A1	CRC-6279465FEEB91F56		0	negatome
P14921	Q92793	CRC-3B66BCC464B393FB	CRC-3BEA9B8558BA1A5E		0	negatome
P18848	Q9H9D4	CRC-3BBB7379DC3B0D07	CRC-0D3CDA7572D17721		0	negatome
P18848	Q92785	CRC-3BBB7379DC3B0D07	CRC-1044B4D3036075FC		0	negatome
P18848	Q8TAU0	CRC-3BBB7379DC3B0D07	CRC-10A279CFA3C8A6DB		0	negatome
P18848	Q16828	CRC-3BBB7379DC3B0D07	CRC-386612227F5D3B2A		0	negatome
P18848	P18848	CRC-3BBB7379DC3B0D07	CRC-3BBB7379DC3B0D07		0	negatome
P18848	Q9H2S9	CRC-3BBB7379DC3B0D07	CRC-42AE169A3E2E14D3		0	negatome
P18848	P41240	CRC-3BBB7379DC3B0D07	CRC-431023A88C54E00C		0	negatome
P18848	Q68DY1	CRC-3BBB7379DC3B0D07	CRC-4F631D271B872653		0	negatome
P18848	P62879	CRC-3BBB7379DC3B0D07	CRC-5D08FFA240ADEEE6		0	negatome
P18848	Q9UHX1	CRC-3BBB7379DC3B0D07	CRC-619F3C30D1C5951C		0	negatome
P18848	Q70SY1	CRC-3BBB7379DC3B0D07	CRC-64699072EEB454D3		0	negatome
P18848	Q8TBX8	CRC-3BBB7379DC3B0D07	CRC-65D1CBCF0826D476		0	negatome
P18848	P62158	CRC-3BBB7379DC3B0D07	CRC-6B4BC3FCDE10727B		0	negatome
P18848	Q93096	CRC-3BBB7379DC3B0D07	CRC-702008013D3F3835		0	negatome
P18848	Q02535	CRC-3BBB7379DC3B0D07	CRC-7FC38B56B4DCEFBC		0	negatome
P18848	Q92730	CRC-3BBB7379DC3B0D07	CRC-9FD56ACB878FBCCA		0	negatome
P18848	Q9NQX6	CRC-3BBB7379DC3B0D07	CRC-A9DB42D0870A7767		0	negatome
P18848	P31150	CRC-3BBB7379DC3B0D07	CRC-BC283A445E50A652		0	negatome
P18848	Q9UHR5	CRC-3BBB7379DC3B0D07	CRC-C48CEFBD73CE82BC		0	negatome
P18848	Q9UH92	CRC-3BBB7379DC3B0D07	CRC-D1981730051473C5		0	negatome
P18848	Q9H6S3	CRC-3BBB7379DC3B0D07	CRC-DAB07744B04CFEE2		0	negatome
P18848	Q14192	CRC-3BBB7379DC3B0D07	CRC-E94E3A7F6601F9F3		0	negatome
P18848	P36915	CRC-3BBB7379DC3B0D07	CRC-F8EBB4EDBB73D929		0	negatome
P08603-2	Q9S036	CRC-3C26D62A2BF9BFEE	CRC-6A84B893EEFFAF9D		0	negatome
P08603-2	Q44790	CRC-3C26D62A2BF9BFEE	CRC-9198F5127DA4B226		0	negatome
P20942	Q32L40	CRC-3C48ABCB4E5E3D04	CRC-161E9B04CFC5A1D7		0	negatome
P10415	Q96CV9	CRC-3C49F2B714DC9CCB	CRC-2BAF841BA515AAE2		0	negatome
P10415	P54826	CRC-3C49F2B714DC9CCB	CRC-31A0CBEEC3632F82		0	negatome
P10415	Q07820	CRC-3C49F2B714DC9CCB	CRC-D85821AC59275F1F		0	negatome
P10415	Q07820-1	CRC-3C49F2B714DC9CCB	CRC-D85821AC59275F1F		0	negatome
P10415	Q07820-2	CRC-3C49F2B714DC9CCB	CRC-D85821AC59275F1F		0	negatome
P25206	Q7L590	CRC-3C8653CF13D0F140	CRC-DD87191FFF3729D4		0	negatome
P24385	P49736	CRC-3CC00C9905F58D3A	CRC-52C6DC61F128B404		0	negatome
P24385	Q9UBD5	CRC-3CC00C9905F58D3A	CRC-E713569A11B39B1C		0	negatome
C7GP96	C7GX20	CRC-3D2162EEF5E52D69	CRC-36395E15D32F33BD		0	negatome
Q01081	Q02040	CRC-3DA130DCE0B953F6	CRC-639E88ECA8006CF2		0	negatome
O00167	P09471	CRC-3DBFC31D8BE1E85D	CRC-4F182926A8106E3E		0	negatome
P01375	Q68396	CRC-3DF90F96C9031FFE	CRC-4874D6CC0B1646F5		0	negatome
P01375	P07911	CRC-3DF90F96C9031FFE	CRC-D26A07A76353AE48		0	negatome
P19784	Q13526	CRC-3ECB92F6BD3DD7F1	CRC-35391AF40B7D1E13		0	negatome
P22004	P36894	CRC-3F19155B36049278	CRC-00CE2DDDA3A44170		0	negatome
O75643	Q9BUQ8	CRC-3F3811BDCCC9DDB7	CRC-01DD5BCF8BFBA2DB		0	negatome
O75643	O75643	CRC-3F3811BDCCC9DDB7	CRC-3F3811BDCCC9DDB7		0	negatome
O75643	Q8WWY3	CRC-3F3811BDCCC9DDB7	CRC-7B50EC4C3393795C		0	negatome
O75643	Q15029	CRC-3F3811BDCCC9DDB7	CRC-862BD6CA7993F118		0	negatome
O75643	O94906	CRC-3F3811BDCCC9DDB7	CRC-91C2F1ADCA439BE9		0	negatome
O75643	P83876	CRC-3F3811BDCCC9DDB7	CRC-EDDDAD7ADAEE87F3		0	negatome
P70371	Q3UES3	CRC-3F648F18C3ECF20A	CRC-5C1E11B74BB11FC9		0	negatome
P70371	Q6PFX9	CRC-3F648F18C3ECF20A	CRC-A90360DC665FFCC0		0	negatome
Q8WXF8	Q92851	CRC-3F7B0B307CC870CD	CRC-840348AE602B8243		0	negatome
P01108	Q3UPW8	CRC-3FCA39BFFD6FC59E	CRC-155DA78B9E77DF88		0	negatome
P02765	P07384	CRC-3FE60C8D6B6272D5	CRC-1CB6D7C56D063498		0	negatome
P02765	Q9Y6Q1	CRC-3FE60C8D6B6272D5	CRC-A48E5291169B1028		0	negatome
P50592	Q9YP87	CRC-3FEACAB9F0D7D802	CRC-FC720DA743F62A2A		0	negatome
Q14186	Q8TAK5	CRC-3FEEFE1E49FD9ED0	CRC-DB0940BDDBF499C0		0	negatome
P03393	P14753	CRC-407F56F769863D74	CRC-067657A2E26451CA		0	negatome
Q9H213	Q9H213	CRC-408C59F0CCAA6781	CRC-408C59F0CCAA6781		0	negatome
Q9H213	Q9UKY1	CRC-408C59F0CCAA6781	CRC-66CF1CEC5EF824E5		0	negatome
Q9H213	Q9P2H0	CRC-408C59F0CCAA6781	CRC-EF181D0177691D00		0	negatome
P07948	P17252	CRC-408D3D461204E378	CRC-9EB157789A062349		0	negatome
P15385	P97879	CRC-40AEF2F901A05F43	CRC-2EFFFFE0D8609C59		0	negatome
Q7M6Z0	Q8K0T0	CRC-412500FEE8154B47	CRC-29B47A58FC2F2027		0	negatome
Q7M6Z0	Q9ES97	CRC-412500FEE8154B47	CRC-5170809A696F8F7A		0	negatome
Q7M6Z0	Q99P72	CRC-412500FEE8154B47	CRC-855697FBEE11781F		0	negatome
O15151-4	P04637	CRC-415E6FA5A0C69857	CRC-AD5C149FD8106131		0	negatome
O35657	P01132	CRC-416BFD5BE27B8893	CRC-28F35C928280D31B		0	negatome
P22736	Q14686	CRC-41DAAEA7C25FDA22	CRC-73219502F5138427		0	negatome
Q7JWH5	Q8IP45	CRC-41F16639A2EC1252	CRC-D8A98E3B228BC51B		0	negatome
P0A6A8	P0AG20	CRC-41FCFC39D45BFEA1	CRC-FA269709F15E1F25		0	negatome
O35988	P14151	CRC-4246963EC6A25915	CRC-6EA9918ECA2D3643		0	negatome
P24864	Q80824	CRC-424DF0B253B7047E	CRC-44E8CE67FF85EC84		0	negatome
P24864	Q80824	CRC-424DF0B253B7047E	CRC-44E8CE67FF85EC84		0	negatome
P37397	P62161	CRC-428226594E10BA05	CRC-6B4BC3FCDE10727B		0	negatome
Q9H2S9	Q9H9D4	CRC-42AE169A3E2E14D3	CRC-0D3CDA7572D17721		0	negatome
Q9H2S9	Q9H2S9	CRC-42AE169A3E2E14D3	CRC-42AE169A3E2E14D3		0	negatome
Q9H2S9	Q9UHX1	CRC-42AE169A3E2E14D3	CRC-619F3C30D1C5951C		0	negatome
Q9H2S9	Q9NQX6	CRC-42AE169A3E2E14D3	CRC-A9DB42D0870A7767		0	negatome
Q9H2S9	Q9UDV6	CRC-42AE169A3E2E14D3	CRC-AF0F7EEC8A482F8A		0	negatome
Q9H2S9	Q9UHR5	CRC-42AE169A3E2E14D3	CRC-C48CEFBD73CE82BC		0	negatome
Q9H2S9	Q9UH92	CRC-42AE169A3E2E14D3	CRC-D1981730051473C5		0	negatome
P41240	Q9H9D4	CRC-431023A88C54E00C	CRC-0D3CDA7572D17721		0	negatome
P41240	Q92785	CRC-431023A88C54E00C	CRC-1044B4D3036075FC		0	negatome
P41240	Q8TAU0	CRC-431023A88C54E00C	CRC-10A279CFA3C8A6DB		0	negatome
P41240	Q16828	CRC-431023A88C54E00C	CRC-386612227F5D3B2A		0	negatome
P41240	Q9H2S9	CRC-431023A88C54E00C	CRC-42AE169A3E2E14D3		0	negatome
P41240	P41240	CRC-431023A88C54E00C	CRC-431023A88C54E00C		0	negatome
P41240	Q68DY1	CRC-431023A88C54E00C	CRC-4F631D271B872653		0	negatome
P41240	P62879	CRC-431023A88C54E00C	CRC-5D08FFA240ADEEE6		0	negatome
P41240	Q9UHX1	CRC-431023A88C54E00C	CRC-619F3C30D1C5951C		0	negatome
P41240	Q70SY1	CRC-431023A88C54E00C	CRC-64699072EEB454D3		0	negatome
P41240	Q8TBX8	CRC-431023A88C54E00C	CRC-65D1CBCF0826D476		0	negatome
P41240	P62158	CRC-431023A88C54E00C	CRC-6B4BC3FCDE10727B		0	negatome
P41240	Q93096	CRC-431023A88C54E00C	CRC-702008013D3F3835		0	negatome
P41240	Q92730	CRC-431023A88C54E00C	CRC-9FD56ACB878FBCCA		0	negatome
P41240	Q9NQX6	CRC-431023A88C54E00C	CRC-A9DB42D0870A7767		0	negatome
P41240	Q9UHR5	CRC-431023A88C54E00C	CRC-C48CEFBD73CE82BC		0	negatome
P41240	Q9UH92	CRC-431023A88C54E00C	CRC-D1981730051473C5		0	negatome
P41240	Q9H6S3	CRC-431023A88C54E00C	CRC-DAB07744B04CFEE2		0	negatome
P04202	Q24468	CRC-4381A51B711D689E	CRC-B3F754DC603EC5BC		0	negatome
P08047	Q61502	CRC-43893DBF6518B9EA	CRC-7922ACE79C73944B		0	negatome
P08047	Q9Y294	CRC-43893DBF6518B9EA	CRC-9819D531D3A9FC68		0	negatome
P08047	Q8R0K9	CRC-43893DBF6518B9EA	CRC-A8BD1A24B38C2B01		0	negatome
P09728	P11021	CRC-43B67DA189A5EF93	CRC-59B7D8D85BC32A00		0	negatome
P04156	Q9UM11	CRC-43DB596BAAA66484	CRC-F6C8FDAF81D8103A		0	negatome
P15207	Q96RL1	CRC-43F4064759FDCBED	CRC-56B7699E42395861		0	negatome
Q12873	Q9H213	CRC-4494F56E5D0E7083	CRC-408C59F0CCAA6781		0	negatome
Q12873	Q7L311	CRC-4494F56E5D0E7083	CRC-7627CBFFE61C329B		0	negatome
Q12873	Q9P2H0	CRC-4494F56E5D0E7083	CRC-EF181D0177691D00		0	negatome
Q12873	Q8NI70	CRC-4494F56E5D0E7083	CRC-F073C2BA91FE0059		0	negatome
P02778	Q16570	CRC-44AE51967C58DDFF	CRC-C3F2A3E71D972E2D		0	negatome
O95271	P70371	CRC-44BDE985C715BEFF	CRC-3F648F18C3ECF20A		0	negatome
O08715	P31324	CRC-455679FCF95C28E6	CRC-24196C3037789827		0	negatome
P27601	Q76MZ3	CRC-45A6A6DB47C707BB	CRC-5175409E4D50A366		0	negatome
O00716	Q8TAK5	CRC-4641565842CA99EC	CRC-DB0940BDDBF499C0		0	negatome
P25697	P25856	CRC-4660A92EF7E39BC6	CRC-FFD7FD662FB222FC		0	negatome
P24666	P35590	CRC-46617BD799313EED	CRC-3B42BE33678C58A1		0	negatome
O43186	O75531	CRC-46747C09277A0864	CRC-9A2180A2D284F5D0		0	negatome
P18064	Q9FEG2	CRC-46BF8650E067F968	CRC-0D82BE9E29A54FE7		0	negatome
P18064	Q9FEG2	CRC-46BF8650E067F968	CRC-0D82BE9E29A54FE7		0	negatome
P18064	Q39128	CRC-46BF8650E067F968	CRC-7F9C8285ED702338		0	negatome
Q92956	Q96B97	CRC-46CE13C2C70242C1	CRC-3BD350FCDB14BD4C		0	negatome
P60891	Q92793	CRC-46D017E969908BA0	CRC-3BEA9B8558BA1A5E		0	negatome
P84022	Q01094	CRC-46DF5E8B371321AC	CRC-003B3F654F0C60DF		0	negatome
P84022	Q13547	CRC-46DF5E8B371321AC	CRC-4D35B7C1ED7838D6		0	negatome
Q8BUN5	Q922H7	CRC-46DF5E8B371321AC	CRC-58B70AF005718538		0	negatome
P84022	Q9UPN9	CRC-46DF5E8B371321AC	CRC-7A36013799E9933C		0	negatome
P84022	Q08999	CRC-46DF5E8B371321AC	CRC-D129032FB1F383D4		0	negatome
P84022	Q08999	CRC-46DF5E8B371321AC	CRC-D129032FB1F383D4		0	negatome
P84022	Q96ST3	CRC-46DF5E8B371321AC	CRC-E6A329BE0EAD84CD		0	negatome
O75674	Q7Z3T8	CRC-47ED5FA1F40144C0	CRC-D9C2F8DDE12D69E2		0	negatome
P51812	Q16512	CRC-486AE8357CEAB6C8	CRC-61360295EC70BB8E		0	negatome
P51812	Q16513	CRC-486AE8357CEAB6C8	CRC-687EC417A0F51C1D		0	negatome
P00756	P01140	CRC-4870748E174AF7C8	CRC-DAB346B1093E7E06		0	negatome
Q8IUD6	Q9BYX4	CRC-488F05406996311D	CRC-789CFB4824B92DC9		0	negatome
P00915	P02730	CRC-4959E5FA25E374F8	CRC-35EC3EE7AFF27D2F		0	negatome
O08734	Q80X44	CRC-49972D3CA21F4218	CRC-BB0533A274AFFF2D		0	negatome
O43557	Q68396	CRC-49D0B1870F390B39	CRC-4874D6CC0B1646F5		0	negatome
P62331	Q8BGS1	CRC-49E38E59AEA52B98	CRC-77348A1F68EF596A		0	negatome
P43489	Q68396	CRC-49F15525941550BF	CRC-4874D6CC0B1646F5		0	negatome
