From	To	crc_hash	source	description
P18508	P18508	CRC-3C60B66E0D23072F	query	sp|P18508|GBRG2_RAT Gamma-aminobutyric acid receptor subunit gamma-2 OS=Rattus norvegicus OX=10116 GN=Gabrg2 PE=1 SV=1
P25206	P25206	CRC-3C8653CF13D0F140	query	sp|P25206|MCM3_MOUSE DNA replication licensing factor MCM3 OS=Mus musculus OX=10090 GN=Mcm3 PE=1 SV=2
P24385	P24385	CRC-3CC00C9905F58D3A	query	sp|P24385|CCND1_HUMAN G1/S-specific cyclin-D1 OS=Homo sapiens OX=9606 GN=CCND1 PE=1 SV=1
Q8TAX0	Q8TAX0	CRC-3D15ED2565C954E3	query	sp|Q8TAX0|OSR1_HUMAN Protein odd-skipped-related 1 OS=Homo sapiens OX=9606 GN=OSR1 PE=2 SV=1
C7GP96	C7GP96	CRC-3D2162EEF5E52D69	query	tr|C7GP96|C7GP96_YEAS2 Pik1p OS=Saccharomyces cerevisiae (strain JAY291) OX=574961 GN=PIK1 PE=3 SV=1
Q9ESU6	Q9ESU6	CRC-3D90F6D3254D5691	query	sp|Q9ESU6|BRD4_MOUSE Bromodomain-containing protein 4 OS=Mus musculus OX=10090 GN=Brd4 PE=1 SV=2
Q01081	Q01081	CRC-3DA130DCE0B953F6	query	sp|Q01081|U2AF1_HUMAN Splicing factor U2AF 35 kDa subunit OS=Homo sapiens OX=9606 GN=U2AF1 PE=1 SV=3
Q9W2K2	Q9W2K2	CRC-3DBB5D2B93574011	query	tr|Q9W2K2|Q9W2K2_DROME U6 snRNA-associated Sm-like protein LSm1 OS=Drosophila melanogaster OX=7227 GN=LSm1 PE=1 SV=1
O00167	O00167	CRC-3DBFC31D8BE1E85D	query	sp|O00167|EYA2_HUMAN Eyes absent homolog 2 OS=Homo sapiens OX=9606 GN=EYA2 PE=1 SV=2
Q9LZP8	Q9LZP8	CRC-3DC0F19D229597EB	query	sp|Q9LZP8|BZP53_ARATH bZIP transcription factor 53 OS=Arabidopsis thaliana OX=3702 GN=BZIP53 PE=1 SV=1
P01375	P01375	CRC-3DF90F96C9031FFE	query	sp|P01375|TNFA_HUMAN Tumor necrosis factor OS=Homo sapiens OX=9606 GN=TNF PE=1 SV=1
Q9WTX6	Q9WTX6	CRC-3E1F8B63C6E498F4	query	sp|Q9WTX6|CUL1_MOUSE Cullin-1 OS=Mus musculus OX=10090 GN=Cul1 PE=1 SV=1
P19784	P19784	CRC-3ECB92F6BD3DD7F1	query	sp|P19784|CSK22_HUMAN Casein kinase II subunit alpha' OS=Homo sapiens OX=9606 GN=CSNK2A2 PE=1 SV=1
Q1JU68	Q1JU68	CRC-3ED50215624CFC07	query	sp|Q1JU68|EIF3A_RAT Eukaryotic translation initiation factor 3 subunit A OS=Rattus norvegicus OX=10116 GN=Eif3a PE=2 SV=2
P22004	P22004	CRC-3F19155B36049278	query	sp|P22004|BMP6_HUMAN Bone morphogenetic protein 6 OS=Homo sapiens OX=9606 GN=BMP6 PE=1 SV=1
O75643	O75643	CRC-3F3811BDCCC9DDB7	query	sp|O75643|U520_HUMAN U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2
P70371	P70371	CRC-3F648F18C3ECF20A	query	sp|P70371|TERF1_MOUSE Telomeric repeat-binding factor 1 OS=Mus musculus OX=10090 GN=Terf1 PE=1 SV=1
Q8WXF8	Q8WXF8	CRC-3F7B0B307CC870CD	query	sp|Q8WXF8|DEDD2_HUMAN DNA-binding death effector domain-containing protein 2 OS=Homo sapiens OX=9606 GN=DEDD2 PE=1 SV=1
Q6H3X3	Q6H3X3	CRC-3F8350036951BA69	query	sp|Q6H3X3|ULBP5_HUMAN UL-16 binding protein 5 OS=Homo sapiens OX=9606 GN=RAET1G PE=1 SV=1
P01108	P01108	CRC-3FCA39BFFD6FC59E	query	sp|P01108|MYC_MOUSE Myc proto-oncogene protein OS=Mus musculus OX=10090 GN=Myc PE=1 SV=1
P02765	P02765	CRC-3FE60C8D6B6272D5	query	sp|P02765|FETUA_HUMAN Alpha-2-HS-glycoprotein OS=Homo sapiens OX=9606 GN=AHSG PE=1 SV=2
P50592	P50592	CRC-3FEACAB9F0D7D802	query	sp|P50592|TNF10_MOUSE Tumor necrosis factor ligand superfamily member 10 OS=Mus musculus OX=10090 GN=Tnfsf10 PE=2 SV=1
Q14186	Q14186	CRC-3FEEFE1E49FD9ED0	query	sp|Q14186|TFDP1_HUMAN Transcription factor Dp-1 OS=Homo sapiens OX=9606 GN=TFDP1 PE=1 SV=1
P03393	P03393	CRC-407F56F769863D74	query	sp|P03393|ENV_FRSF5 Glycoprotein 55 OS=Friend spleen focus-forming virus (isolate 502) OX=355329 GN=env PE=1 SV=1
Q9H213	Q9H213	CRC-408C59F0CCAA6781	query	sp|Q9H213|MAGH1_HUMAN Melanoma-associated antigen H1 OS=Homo sapiens OX=9606 GN=MAGEH1 PE=1 SV=1
P07948	P07948	CRC-408D3D461204E378	query	sp|P07948|LYN_HUMAN Tyrosine-protein kinase Lyn OS=Homo sapiens OX=9606 GN=LYN PE=1 SV=3
P15385	P15385	CRC-40AEF2F901A05F43	query	sp|P15385|KCNA4_RAT Potassium voltage-gated channel subfamily A member 4 OS=Rattus norvegicus OX=10116 GN=Kcna4 PE=1 SV=1
Q5M9N9	Q5M9N9	CRC-40D173993A26DA51	query	tr|Q5M9N9|Q5M9N9_MOUSE Prdx2 protein OS=Mus musculus OX=10090 GN=Prdx2 PE=2 SV=1
Q9HB40	Q9HB40	CRC-40D8FB3CBC09E3DE	query	sp|Q9HB40|RISC_HUMAN Retinoid-inducible serine carboxypeptidase OS=Homo sapiens OX=9606 GN=SCPEP1 PE=1 SV=1
Q7M6Z0	Q7M6Z0	CRC-412500FEE8154B47	query	sp|Q7M6Z0|R4RL2_MOUSE Reticulon-4 receptor-like 2 OS=Mus musculus OX=10090 GN=Rtn4rl2 PE=1 SV=1
I0LL25	I0LL25	CRC-415BD253E1E8E0EC	uniparc	tr|H7C694|H7C694_CORGT PII protein OS=Corynebacterium glutamicum OX=1718 GN=glnB PE=1 SV=1
O15151-4	O15151	CRC-415E6FA5A0C69857	query	sp|O15151|MDM4_HUMAN Protein Mdm4 OS=Homo sapiens OX=9606 GN=MDM4 PE=1 SV=2
O35657	O35657	CRC-416BFD5BE27B8893	query	sp|O35657|NEUR1_MOUSE Sialidase-1 OS=Mus musculus OX=10090 GN=Neu1 PE=1 SV=1
P33175	P33175	CRC-419AD8C2D747DA0A	query	sp|P33175|KIF5A_MOUSE Kinesin heavy chain isoform 5A OS=Mus musculus OX=10090 GN=Kif5a PE=1 SV=3
Q3T115	Q3T115	CRC-419C4E1BF121390D	query	tr|Q3T115|Q3T115_BOVIN Chaperonin containing TCP1, subunit 5 (Epsilon) OS=Bos taurus OX=9913 GN=CCT5 PE=2 SV=1
P98086	P98086	CRC-41C2066D49592020	query	sp|P98086|C1QA_MOUSE Complement C1q subcomponent subunit A OS=Mus musculus OX=10090 GN=C1qa PE=1 SV=2
P22736	P22736	CRC-41DAAEA7C25FDA22	query	sp|P22736|NR4A1_HUMAN Nuclear receptor subfamily 4 group A member 1 OS=Homo sapiens OX=9606 GN=NR4A1 PE=1 SV=1
Q7JWH5	Q7JWH5	CRC-41F16639A2EC1252	query	tr|Q7JWH5|Q7JWH5_DROME MIP07211p OS=Drosophila melanogaster OX=7227 GN=Roc2 PE=2 SV=1
P0A6A8	P0A6A8	CRC-41FCFC39D45BFEA1	query	sp|P0A6A8|ACP_ECOLI Acyl carrier protein OS=Escherichia coli (strain K12) OX=83333 GN=acpP PE=1 SV=2
O35988	O35988	CRC-4246963EC6A25915	query	sp|O35988|SDC4_MOUSE Syndecan-4 OS=Mus musculus OX=10090 GN=Sdc4 PE=1 SV=1
P24864	P24864	CRC-424DF0B253B7047E	query	sp|P24864|CCNE1_HUMAN G1/S-specific cyclin-E1 OS=Homo sapiens OX=9606 GN=CCNE1 PE=1 SV=2
Q9Y2D8	Q9Y2D8	CRC-427903EF86A6FE31	query	sp|Q9Y2D8|ADIP_HUMAN Afadin- and alpha-actinin-binding protein OS=Homo sapiens OX=9606 GN=SSX2IP PE=1 SV=3
P37397	P37397	CRC-428226594E10BA05	query	sp|P37397|CNN3_RAT Calponin-3 OS=Rattus norvegicus OX=10116 GN=Cnn3 PE=1 SV=1
Q9H2S9	Q9H2S9	CRC-42AE169A3E2E14D3	query	sp|Q9H2S9|IKZF4_HUMAN Zinc finger protein Eos OS=Homo sapiens OX=9606 GN=IKZF4 PE=1 SV=2
P62834	P62834	CRC-42C39290C98E0A92	query	sp|P62834|RAP1A_HUMAN Ras-related protein Rap-1A OS=Homo sapiens OX=9606 GN=RAP1A PE=1 SV=1
Q6DQH2	Q6DQH2	CRC-42E83543ECD91E6E	query	tr|Q6DQH2|Q6DQH2_MOUSE Zinc finger-like protein ZFRA OS=Mus musculus OX=10090 GN=Apbb2 PE=2 SV=1
Q2EMV9	Q2EMV9	CRC-42E902CC20858931	query	sp|Q2EMV9|PAR14_MOUSE Protein mono-ADP-ribosyltransferase PARP14 OS=Mus musculus OX=10090 GN=Parp14 PE=1 SV=3
P41240	P41240	CRC-431023A88C54E00C	query	sp|P41240|CSK_HUMAN Tyrosine-protein kinase CSK OS=Homo sapiens OX=9606 GN=CSK PE=1 SV=1
P04202	P04202	CRC-4381A51B711D689E	query	sp|P04202|TGFB1_MOUSE Transforming growth factor beta-1 proprotein OS=Mus musculus OX=10090 GN=Tgfb1 PE=1 SV=1
P08047	P08047	CRC-43893DBF6518B9EA	query	sp|P08047|SP1_HUMAN Transcription factor Sp1 OS=Homo sapiens OX=9606 GN=SP1 PE=1 SV=3
P09728	P09728	CRC-43B67DA189A5EF93	query	sp|P09728|US10_HCMVA Unique short US10 glycoprotein OS=Human cytomegalovirus (strain AD169) OX=10360 GN=US10 PE=3 SV=1
P04156	P04156	CRC-43DB596BAAA66484	query	sp|P04156|PRIO_HUMAN Major prion protein OS=Homo sapiens OX=9606 GN=PRNP PE=1 SV=1
P15207	P15207	CRC-43F4064759FDCBED	query	sp|P15207|ANDR_RAT Androgen receptor OS=Rattus norvegicus OX=10116 GN=Ar PE=1 SV=1
Q9R0M6	Q9R0M6	CRC-43F490EAA67D2C9A	query	sp|Q9R0M6|RAB9A_MOUSE Ras-related protein Rab-9A OS=Mus musculus OX=10090 GN=Rab9a PE=1 SV=1
Q12873	Q12873	CRC-4494F56E5D0E7083	query	sp|Q12873|CHD3_HUMAN Chromodomain-helicase-DNA-binding protein 3 OS=Homo sapiens OX=9606 GN=CHD3 PE=1 SV=3
P02778	P02778	CRC-44AE51967C58DDFF	query	sp|P02778|CXL10_HUMAN C-X-C motif chemokine 10 OS=Homo sapiens OX=9606 GN=CXCL10 PE=1 SV=2
Q92558	Q92558	CRC-44B4527BDB77BC6E	query	sp|Q92558|WASF1_HUMAN Actin-binding protein WASF1 OS=Homo sapiens OX=9606 GN=WASF1 PE=1 SV=1
Q9QZ85	Q9QZ85	CRC-44B5A95FCA58A37A	query	sp|Q9QZ85|IIGP1_MOUSE Interferon-inducible GTPase 1 OS=Mus musculus OX=10090 GN=Iigp1 PE=1 SV=2
Q8N5F7	Q8N5F7	CRC-44BD1DE20F7ED35A	query	sp|Q8N5F7|NKAP_HUMAN NF-kappa-B-activating protein OS=Homo sapiens OX=9606 GN=NKAP PE=1 SV=1
O95271	O95271	CRC-44BDE985C715BEFF	query	sp|O95271|TNKS1_HUMAN Poly [ADP-ribose] polymerase tankyrase-1 OS=Homo sapiens OX=9606 GN=TNKS PE=1 SV=2
Q80824	Q80824	CRC-44E8CE67FF85EC84	query	tr|Q80824|Q80824_HTLV2 Protein 28 xII OS=Human T-cell leukemia virus 2 OX=11909 GN=xII PE=4 SV=1
Q9WUD9	Q9WUD9	CRC-453D1E904EC660A3	query	sp|Q9WUD9|SRC_RAT Proto-oncogene tyrosine-protein kinase Src OS=Rattus norvegicus OX=10116 GN=Src PE=1 SV=4
O08715	O08715	CRC-455679FCF95C28E6	query	sp|O08715|AKAP1_MOUSE A-kinase anchor protein 1, mitochondrial OS=Mus musculus OX=10090 GN=Akap1 PE=1 SV=4
Q9ULZ3	Q9ULZ3	CRC-455987286586F46A	query	sp|Q9ULZ3|ASC_HUMAN Apoptosis-associated speck-like protein containing a CARD OS=Homo sapiens OX=9606 GN=PYCARD PE=1 SV=2
Q03147	Q03147	CRC-455FFAB2CFEDEB3E	query	sp|Q03147|CDK7_MOUSE Cyclin-dependent kinase 7 OS=Mus musculus OX=10090 GN=Cdk7 PE=1 SV=2
P27601	P27601	CRC-45A6A6DB47C707BB	query	sp|P27601|GNA13_MOUSE Guanine nucleotide-binding protein subunit alpha-13 OS=Mus musculus OX=10090 GN=Gna13 PE=1 SV=1
Q9AVB0	Q9AVB0	CRC-463F667183D7E74B	query	sp|Q9AVB0|LECB_PHYAM Lectin-B OS=Phytolacca americana OX=3527 PE=1 SV=1
O00716	O00716	CRC-4641565842CA99EC	query	sp|O00716|E2F3_HUMAN Transcription factor E2F3 OS=Homo sapiens OX=9606 GN=E2F3 PE=1 SV=1
P25697	P25697	CRC-4660A92EF7E39BC6	query	sp|P25697|KPPR_ARATH Phosphoribulokinase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At1g32060 PE=1 SV=1
P24666	P24666	CRC-46617BD799313EED	query	sp|P24666|PPAC_HUMAN Low molecular weight phosphotyrosine protein phosphatase OS=Homo sapiens OX=9606 GN=ACP1 PE=1 SV=3
O43186	O43186	CRC-46747C09277A0864	query	sp|O43186|CRX_HUMAN Cone-rod homeobox protein OS=Homo sapiens OX=9606 GN=CRX PE=1 SV=1
Q7L3B6	Q7L3B6	CRC-46ACDDCE5D07B587	query	sp|Q7L3B6|CD37L_HUMAN Hsp90 co-chaperone Cdc37-like 1 OS=Homo sapiens OX=9606 GN=CDC37L1 PE=1 SV=1
P18064	P18064	CRC-46BF8650E067F968	query	sp|P18064|GPA1_ARATH Guanine nucleotide-binding protein alpha-1 subunit OS=Arabidopsis thaliana OX=3702 GN=GPA1 PE=1 SV=1
Q92956	Q92956	CRC-46CE13C2C70242C1	query	sp|Q92956|TNR14_HUMAN Tumor necrosis factor receptor superfamily member 14 OS=Homo sapiens OX=9606 GN=TNFRSF14 PE=1 SV=3
P60891	P60891	CRC-46D017E969908BA0	query	sp|P60891|PRPS1_HUMAN Ribose-phosphate pyrophosphokinase 1 OS=Homo sapiens OX=9606 GN=PRPS1 PE=1 SV=2
P84022	P84022	CRC-46DF5E8B371321AC	query	sp|P84022|SMAD3_HUMAN Mothers against decapentaplegic homolog 3 OS=Homo sapiens OX=9606 GN=SMAD3 PE=1 SV=1
Q8BUN5	Q8BUN5	CRC-46DF5E8B371321AC	query	sp|Q8BUN5|SMAD3_MOUSE Mothers against decapentaplegic homolog 3 OS=Mus musculus OX=10090 GN=Smad3 PE=1 SV=2
Q5TA45	Q5TA45	CRC-47C4E2E16202B130	query	sp|Q5TA45|INT11_HUMAN Integrator complex subunit 11 OS=Homo sapiens OX=9606 GN=INTS11 PE=1 SV=2
O75674	O75674	CRC-47ED5FA1F40144C0	query	sp|O75674|TM1L1_HUMAN TOM1-like protein 1 OS=Homo sapiens OX=9606 GN=TOM1L1 PE=1 SV=2
Q99814	Q99814	CRC-4838989598234FC1	query	sp|Q99814|EPAS1_HUMAN Endothelial PAS domain-containing protein 1 OS=Homo sapiens OX=9606 GN=EPAS1 PE=1 SV=3
Q14152	Q14152	CRC-485C01B28D67EBBA	query	sp|Q14152|EIF3A_HUMAN Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1
P51812	P51812	CRC-486AE8357CEAB6C8	query	sp|P51812|KS6A3_HUMAN Ribosomal protein S6 kinase alpha-3 OS=Homo sapiens OX=9606 GN=RPS6KA3 PE=1 SV=1
P00756	P00756	CRC-4870748E174AF7C8	query	sp|P00756|K1KB3_MOUSE Kallikrein 1-related peptidase b3 OS=Mus musculus OX=10090 GN=Klk1b3 PE=1 SV=1
Q68396	Q68396	CRC-4874D6CC0B1646F5	query	sp|Q68396|UL144_HCMVO Membrane glycoprotein UL144 OS=Human cytomegalovirus (strain Toledo) OX=311339 GN=UL144 PE=1 SV=1
Q8IUD6	Q8IUD6	CRC-488F05406996311D	query	sp|Q8IUD6|RN135_HUMAN E3 ubiquitin-protein ligase RNF135 OS=Homo sapiens OX=9606 GN=RNF135 PE=1 SV=2
P32494	P32494	CRC-489016BFD1C095D4	query	sp|P32494|NGG1_YEAST Chromatin-remodeling complexes subunit NGG1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NGG1 PE=1 SV=1
Q91783	Q91783	CRC-48A477D1E2559115	query	sp|Q91783|KI11A_XENLA Kinesin-like protein KIF11-A OS=Xenopus laevis OX=8355 GN=kif11-a PE=1 SV=1
Q99569	Q99569	CRC-48EA1579E323E019	query	sp|Q99569|PKP4_HUMAN Plakophilin-4 OS=Homo sapiens OX=9606 GN=PKP4 PE=1 SV=2
Q16629	Q16629	CRC-49136754D9630853	query	sp|Q16629|SRSF7_HUMAN Serine/arginine-rich splicing factor 7 OS=Homo sapiens OX=9606 GN=SRSF7 PE=1 SV=1
P16157	P16157	CRC-49466F6F915019EC	query	sp|P16157|ANK1_HUMAN Ankyrin-1 OS=Homo sapiens OX=9606 GN=ANK1 PE=1 SV=3
P00915	P00915	CRC-4959E5FA25E374F8	query	sp|P00915|CAH1_HUMAN Carbonic anhydrase 1 OS=Homo sapiens OX=9606 GN=CA1 PE=1 SV=2
Q9WVJ9	Q9WVJ9	CRC-4969C0328A23DD88	query	sp|Q9WVJ9|FBLN4_MOUSE EGF-containing fibulin-like extracellular matrix protein 2 OS=Mus musculus OX=10090 GN=Efemp2 PE=1 SV=1
O08734	O08734	CRC-49972D3CA21F4218	query	sp|O08734|BAK_MOUSE Bcl-2 homologous antagonist/killer OS=Mus musculus OX=10090 GN=Bak1 PE=1 SV=3
Q9UJ41	Q9UJ41	CRC-49ACABA276E65E91	query	sp|Q9UJ41|RABX5_HUMAN Rab5 GDP/GTP exchange factor OS=Homo sapiens OX=9606 GN=RABGEF1 PE=1 SV=3
O43557	O43557	CRC-49D0B1870F390B39	query	sp|O43557|TNF14_HUMAN Tumor necrosis factor ligand superfamily member 14 OS=Homo sapiens OX=9606 GN=TNFSF14 PE=1 SV=2
P62331	P62331	CRC-49E38E59AEA52B98	query	sp|P62331|ARF6_MOUSE ADP-ribosylation factor 6 OS=Mus musculus OX=10090 GN=Arf6 PE=1 SV=2
P43489	P43489	CRC-49F15525941550BF	query	sp|P43489|TNR4_HUMAN Tumor necrosis factor receptor superfamily member 4 OS=Homo sapiens OX=9606 GN=TNFRSF4 PE=1 SV=1
P42285	P42285	CRC-49F47BEC753FBEE7	query	sp|P42285|MTREX_HUMAN Exosome RNA helicase MTR4 OS=Homo sapiens OX=9606 GN=MTREX PE=1 SV=3
P63045	P63045	CRC-4A0D0D56B5409D0A	query	sp|P63045|VAMP2_RAT Vesicle-associated membrane protein 2 OS=Rattus norvegicus OX=10116 GN=Vamp2 PE=1 SV=2
P06241	P06241	CRC-4A1E443A4B5A0977	query	sp|P06241|FYN_HUMAN Tyrosine-protein kinase Fyn OS=Homo sapiens OX=9606 GN=FYN PE=1 SV=3
Q99717	Q99717	CRC-4A1FD7EC7BD06728	query	sp|Q99717|SMAD5_HUMAN Mothers against decapentaplegic homolog 5 OS=Homo sapiens OX=9606 GN=SMAD5 PE=1 SV=1
P54130	P54130	CRC-4A3CE894DFF643EB	query	sp|P54130|FGF9_MOUSE Fibroblast growth factor 9 OS=Mus musculus OX=10090 GN=Fgf9 PE=2 SV=2
P49597	P49597	CRC-4A4C54F04195F572	query	sp|P49597|P2C56_ARATH Protein phosphatase 2C 56 OS=Arabidopsis thaliana OX=3702 GN=ABI1 PE=1 SV=2
Q64704	Q64704	CRC-4A8EAFC2049EEE6F	query	sp|Q64704|STX3_MOUSE Syntaxin-3 OS=Mus musculus OX=10090 GN=Stx3 PE=1 SV=1
O43395	O43395	CRC-4AA6AA4C99110284	query	sp|O43395|PRPF3_HUMAN U4/U6 small nuclear ribonucleoprotein Prp3 OS=Homo sapiens OX=9606 GN=PRPF3 PE=1 SV=2
P23804-2	P23804	CRC-4ABF489A82038DF4	query	sp|P23804|MDM2_MOUSE E3 ubiquitin-protein ligase Mdm2 OS=Mus musculus OX=10090 GN=Mdm2 PE=1 SV=3
O60224	O60224	CRC-4ACA2A8737507AE5	query	sp|O60224|SSX4_HUMAN Protein SSX4 OS=Homo sapiens OX=9606 GN=SSX4B PE=1 SV=1
P49841	P49841	CRC-4ACC24D00CDBB9C3	query	sp|P49841|GSK3B_HUMAN Glycogen synthase kinase-3 beta OS=Homo sapiens OX=9606 GN=GSK3B PE=1 SV=2
Q02242	Q02242	CRC-4AD3C5F0F9D4200A	query	sp|Q02242|PDCD1_MOUSE Programmed cell death protein 1 OS=Mus musculus OX=10090 GN=Pdcd1 PE=1 SV=1
Q9BQ52	Q9BQ52	CRC-4AE701C755EC7339	query	sp|Q9BQ52|RNZ2_HUMAN Zinc phosphodiesterase ELAC protein 2 OS=Homo sapiens OX=9606 GN=ELAC2 PE=1 SV=2
Q99497	Q99497	CRC-4B21661B3A76BC67	query	sp|Q99497|PARK7_HUMAN Parkinson disease protein 7 OS=Homo sapiens OX=9606 GN=PARK7 PE=1 SV=2
P13264	P13264	CRC-4B2524A45D3678CA	query	sp|P13264|GLSK_RAT Glutaminase kidney isoform, mitochondrial OS=Rattus norvegicus OX=10116 GN=Gls PE=1 SV=2
Q9HBI1	Q9HBI1	CRC-4BA4B50C83083DC7	query	sp|Q9HBI1|PARVB_HUMAN Beta-parvin OS=Homo sapiens OX=9606 GN=PARVB PE=1 SV=1
Q96P20	Q96P20	CRC-4C1DFB2B5B283CE8	query	sp|Q96P20|NLRP3_HUMAN NACHT, LRR and PYD domains-containing protein 3 OS=Homo sapiens OX=9606 GN=NLRP3 PE=1 SV=3
Q62312	Q62312	CRC-4C66067ADA84F986	query	sp|Q62312|TGFR2_MOUSE TGF-beta receptor type-2 OS=Mus musculus OX=10090 GN=Tgfbr2 PE=1 SV=2
Q9Y297	Q9Y297	CRC-4C67F3B7E400FD37	query	sp|Q9Y297|FBW1A_HUMAN F-box/WD repeat-containing protein 1A OS=Homo sapiens OX=9606 GN=BTRC PE=1 SV=1
Q92633	Q92633	CRC-4CA6262FD00DFE74	query	sp|Q92633|LPAR1_HUMAN Lysophosphatidic acid receptor 1 OS=Homo sapiens OX=9606 GN=LPAR1 PE=1 SV=3
Q9UKG1	Q9UKG1	CRC-4CABECFCF4BB110D	query	sp|Q9UKG1|DP13A_HUMAN DCC-interacting protein 13-alpha OS=Homo sapiens OX=9606 GN=APPL1 PE=1 SV=1
P78347	P78347	CRC-4CFA2C19002869B9	query	sp|P78347|GTF2I_HUMAN General transcription factor II-I OS=Homo sapiens OX=9606 GN=GTF2I PE=1 SV=2
P46108	P46108	CRC-4CFBFB65BFC2E265	query	sp|P46108|CRK_HUMAN Adapter molecule crk OS=Homo sapiens OX=9606 GN=CRK PE=1 SV=2
P03211	P03211	CRC-4D161653E16FC341	query	sp|P03211|EBNA1_EBVB9 Epstein-Barr nuclear antigen 1 OS=Epstein-Barr virus (strain B95-8) OX=10377 GN=EBNA1 PE=1 SV=1
Q13547	Q13547	CRC-4D35B7C1ED7838D6	query	sp|Q13547|HDAC1_HUMAN Histone deacetylase 1 OS=Homo sapiens OX=9606 GN=HDAC1 PE=1 SV=1
Q61730	Q61730	CRC-4D4B07E0310AFDC5	query	sp|Q61730|IL1AP_MOUSE Interleukin-1 receptor accessory protein OS=Mus musculus OX=10090 GN=Il1rap PE=1 SV=1
P02771	P02771	CRC-4D4E45820E1C2D4F	query	sp|P02771|FETA_HUMAN Alpha-fetoprotein OS=Homo sapiens OX=9606 GN=AFP PE=1 SV=1
P02540	P02540	CRC-4D6992271A004630	query	sp|P02540|DESM_PIG Desmin OS=Sus scrofa OX=9823 GN=DES PE=1 SV=4
Q15583	Q15583	CRC-4D9C76AFB37A29F0	query	sp|Q15583|TGIF1_HUMAN Homeobox protein TGIF1 OS=Homo sapiens OX=9606 GN=TGIF1 PE=1 SV=3
Q9NX02	Q9NX02	CRC-4DBB0F6E9C2BC8A7	query	sp|Q9NX02|NALP2_HUMAN NACHT, LRR and PYD domains-containing protein 2 OS=Homo sapiens OX=9606 GN=NLRP2 PE=1 SV=1
P04608	P04608	CRC-4DDC56D979769115	query	sp|P04608|TAT_HV1H2 Protein Tat OS=Human immunodeficiency virus type 1 group M subtype B (isolate HXB2) OX=11706 GN=tat PE=1 SV=2
O43542	O43542	CRC-4DDF3B163C3B3332	query	sp|O43542|XRCC3_HUMAN DNA repair protein XRCC3 OS=Homo sapiens OX=9606 GN=XRCC3 PE=1 SV=1
Q9BQ87	Q9BQ87	CRC-4E020216422442D8	query	sp|Q9BQ87|TBL1Y_HUMAN F-box-like/WD repeat-containing protein TBL1Y OS=Homo sapiens OX=9606 GN=TBL1Y PE=1 SV=1
P28799	P28799	CRC-4E5947F1B4EDE619	query	sp|P28799|GRN_HUMAN Progranulin OS=Homo sapiens OX=9606 GN=GRN PE=1 SV=2
Q32MZ4	Q32MZ4	CRC-4E6140DF2471A7C9	query	sp|Q32MZ4|LRRF1_HUMAN Leucine-rich repeat flightless-interacting protein 1 OS=Homo sapiens OX=9606 GN=LRRFIP1 PE=1 SV=2
P17839	P17839	CRC-4E7591AD85654C1C	query	sp|P17839|AG_ARATH Floral homeotic protein AGAMOUS OS=Arabidopsis thaliana OX=3702 GN=AG PE=1 SV=2
O15111	O15111	CRC-4EA55C6FFC66FA16	query	sp|O15111|IKKA_HUMAN Inhibitor of nuclear factor kappa-B kinase subunit alpha OS=Homo sapiens OX=9606 GN=CHUK PE=1 SV=2
Q53G59	Q53G59	CRC-4EB1BC33B6351B5D	query	sp|Q53G59|KLH12_HUMAN Kelch-like protein 12 OS=Homo sapiens OX=9606 GN=KLHL12 PE=1 SV=2
Q78NN4	Q78NN4	CRC-4F166A6607184F31	query	tr|Q78NN4|Q78NN4_MOUSE GAIP/RGS19 OS=Mus musculus OX=10090 GN=Rgs19 PE=1 SV=1
P09471	P09471	CRC-4F182926A8106E3E	query	sp|P09471|GNAO_HUMAN Guanine nucleotide-binding protein G(o) subunit alpha OS=Homo sapiens OX=9606 GN=GNAO1 PE=1 SV=4
P30560	P30560	CRC-4F452C8DF7B4C900	query	sp|P30560|V1AR_RAT Vasopressin V1a receptor OS=Rattus norvegicus OX=10116 GN=Avpr1a PE=1 SV=4
Q15599	Q15599	CRC-4F5D341590D22ED7	query	sp|Q15599|NHRF2_HUMAN Na(+)/H(+) exchange regulatory cofactor NHE-RF2 OS=Homo sapiens OX=9606 GN=SLC9A3R2 PE=1 SV=2
Q68DY1	Q68DY1	CRC-4F631D271B872653	query	sp|Q68DY1|ZN626_HUMAN Zinc finger protein 626 OS=Homo sapiens OX=9606 GN=ZNF626 PE=2 SV=2
Q8BH43	Q8BH43	CRC-4F970D0577792503	query	sp|Q8BH43|WASF2_MOUSE Actin-binding protein WASF2 OS=Mus musculus OX=10090 GN=Wasf2 PE=1 SV=1
P97471	P97471	CRC-4FBDF5DED4442F86	query	sp|P97471|SMAD4_MOUSE Mothers against decapentaplegic homolog 4 OS=Mus musculus OX=10090 GN=Smad4 PE=1 SV=2
P55072	P55072	CRC-501B721D3A77BA8A	query	sp|P55072|TERA_HUMAN Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4
